Invoice Number,Invoice Date,Total Amount,Provider,Location
INV-000425,2025-05-19,2689.04,EyeCare Smallville,BigTown
INV-000426,2025-01-10,875.37,EyeCare Smallville,Smallville
INV-000427,2025-07-09,4816.52,EyeCare Smallville,Smallville
INV-000428,2025-08-05,1316.43,EyeCare Smallville,Smallville
INV-000429,2025-05-17,1027.21,Eye Care BigTown,BigTown
INV-000430,2025-04-11,625.84,Eye Care BigTown,BigTown
INV-000431,2025-02-05,3249.25,Eye Care BigTown,Smallville
INV-000432,2025-01-04,3558.91,EyeCare Smallville,BigTown
INV-000433,2025-01-11,2948.67,Eye Care BigTown,Smallville
INV-000434,2025-05-01,2872.76,Eye Care BigTown,Smallville
INV-000435,2025-03-03,1626.57,Eye Care BigTown,Smallville
INV-000436,2025-06-17,1323.19,EyeCare Smallville,BigTown
INV-000437,2025-04-29,702.15,EyeCare Smallville,Smallville
INV-000438,2025-02-21,4622.42,Eye Care BigTown,BigTown
INV-000439,2025-07-06,4455.9,Eye Care BigTown,Smallville
INV-000440,2025-01-31,3867.06,Eye Care BigTown,BigTown
INV-000441,2025-08-17,3211.3,EyeCare Smallville,BigTown
INV-000442,2025-08-17,2518.78,Eye Care BigTown,Smallville
INV-000443,2025-03-01,1738.65,Eye Care BigTown,BigTown
INV-000444,2025-05-29,3223.74,EyeCare Smallville,BigTown
INV-000445,2025-04-11,2931.98,EyeCare Smallville,BigTown
INV-000446,2025-08-11,1431.78,EyeCare Smallville,Smallville
INV-000447,2025-01-18,4549.14,EyeCare Smallville,BigTown
INV-000448,2025-03-16,1686.04,EyeCare Smallville,BigTown
INV-000449,2025-08-01,3456.78,Eye Care BigTown,BigTown
INV-000450,2025-02-23,1180.18,Eye Care BigTown,Smallville
INV-000451,2025-01-07,4070.3,Eye Care BigTown,Smallville
INV-000452,2025-02-04,3601.28,EyeCare Smallville,BigTown
INV-000453,2025-01-02,953.73,EyeCare Smallville,Smallville
INV-000454,2025-03-12,1693.14,Eye Care BigTown,Smallville
INV-000455,2025-07-12,3928.14,Eye Care BigTown,BigTown
INV-000456,2025-06-18,3322.87,EyeCare Smallville,BigTown
INV-000457,2025-05-29,2206.68,EyeCare Smallville,BigTown
INV-000458,2025-03-06,2831.24,EyeCare Smallville,Smallville
INV-000459,2025-05-07,2993.63,EyeCare Smallville,Smallville
INV-000460,2025-08-01,4907.31,Eye Care BigTown,Smallville
INV-000461,2025-07-15,1267.31,Eye Care BigTown,BigTown
INV-000462,2025-02-12,2072.9,Eye Care BigTown,BigTown
INV-000463,2025-01-29,4235.82,EyeCare Smallville,Smallville
INV-000464,2025-07-24,2791.44,Eye Care BigTown,Smallville
INV-000465,2025-07-21,1976.9,Eye Care BigTown,BigTown
INV-000466,2025-06-15,3388.2,EyeCare Smallville,Smallville
INV-000467,2025-05-10,4879.67,Eye Care BigTown,BigTown
INV-000468,2025-06-06,3778.01,Eye Care BigTown,BigTown
INV-000469,2025-08-23,4521.33,EyeCare Smallville,Smallville
INV-000470,2025-03-21,2586.55,EyeCare Smallville,Smallville
INV-000471,2025-05-31,1533.55,EyeCare Smallville,Smallville
INV-000472,2025-05-13,782.92,Eye Care BigTown,BigTown
INV-000473,2025-02-12,1387.42,Eye Care BigTown,Smallville
INV-000474,2025-08-08,1842.79,EyeCare Smallville,BigTown
INV-000475,2025-05-20,2703.25,Eye Care BigTown,BigTown
INV-000476,2025-06-09,3319.53,Eye Care BigTown,BigTown
INV-000477,2025-07-18,3188.45,Eye Care BigTown,Smallville
INV-000478,2025-08-02,1063.4,EyeCare Smallville,BigTown
INV-000479,2025-01-09,2810.8,EyeCare Smallville,BigTown
INV-000480,2025-07-27,4406.78,EyeCare Smallville,BigTown
INV-000481,2025-06-17,3817.84,EyeCare Smallville,Smallville
INV-000482,2025-01-04,1886.6,Eye Care BigTown,Smallville
INV-000483,2025-05-22,1507.11,EyeCare Smallville,BigTown
INV-000484,2025-05-10,4596.75,Eye Care BigTown,BigTown
INV-000485,2025-01-12,3126.69,Eye Care BigTown,Smallville
INV-000486,2025-08-03,1494.75,Eye Care BigTown,BigTown
INV-000487,2025-05-07,3865.29,Eye Care BigTown,Smallville
INV-000488,2025-08-26,1726.03,EyeCare Smallville,BigTown
INV-000489,2025-04-23,3100.48,Eye Care BigTown,Smallville
INV-000490,2025-06-27,1170.37,Eye Care BigTown,Smallville
INV-000491,2025-03-01,4017.08,Eye Care BigTown,BigTown
INV-000492,2025-04-25,2882.7,Eye Care BigTown,Smallville
INV-000493,2025-05-16,1019.05,Eye Care BigTown,Smallville
INV-000494,2025-02-14,532.01,EyeCare Smallville,Smallville
INV-000495,2025-01-14,4284.62,EyeCare Smallville,BigTown
INV-000496,2025-06-06,3211.6,Eye Care BigTown,Smallville
INV-000497,2025-08-15,1614.82,Eye Care BigTown,BigTown
INV-000498,2025-05-29,2667.45,Eye Care BigTown,BigTown
INV-000499,2025-07-04,628.22,EyeCare Smallville,BigTown
INV-000500,2025-06-02,1192.16,EyeCare Smallville,BigTown
INV-000501,2025-08-25,1907.11,EyeCare Smallville,BigTown
INV-000502,2025-06-14,2269.54,Eye Care BigTown,BigTown
INV-000503,2025-05-12,4379.09,EyeCare Smallville,BigTown
INV-000504,2025-03-21,2840.83,EyeCare Smallville,BigTown
INV-000505,2025-06-28,1594.04,EyeCare Smallville,BigTown
INV-000506,2025-08-01,1369.93,Eye Care BigTown,BigTown
INV-000507,2025-07-23,4984.2,Eye Care BigTown,Smallville
INV-000508,2025-01-26,4041.87,EyeCare Smallville,Smallville
INV-000509,2025-08-17,4808.17,Eye Care BigTown,BigTown
INV-000510,2025-05-23,3953.06,EyeCare Smallville,BigTown
INV-000511,2025-06-28,3189.47,EyeCare Smallville,BigTown
INV-000512,2025-03-19,3722.73,EyeCare Smallville,BigTown
INV-000513,2025-04-09,1250.19,EyeCare Smallville,BigTown
INV-000514,2025-02-03,572.04,Eye Care BigTown,BigTown
INV-000515,2025-07-27,4293.96,EyeCare Smallville,Smallville
INV-000516,2025-01-05,2988.7,EyeCare Smallville,Smallville
INV-000517,2025-04-26,3681.99,EyeCare Smallville,BigTown
INV-000518,2025-07-21,3284.68,EyeCare Smallville,BigTown
INV-000519,2025-05-23,2079.4,Eye Care BigTown,BigTown
INV-000520,2025-06-18,4900.24,EyeCare Smallville,Smallville
INV-000521,2025-09-01,4595.19,Eye Care BigTown,Smallville
INV-000522,2025-03-13,3380.96,Eye Care BigTown,Smallville
INV-000523,2025-05-15,1478.27,EyeCare Smallville,BigTown
INV-000524,2025-07-20,844.49,EyeCare Smallville,Smallville
INV-000525,2025-05-03,1585.77,EyeCare Smallville,BigTown
INV-000526,2025-01-28,889.85,Eye Care BigTown,Smallville
INV-000527,2025-06-25,1463.91,Eye Care BigTown,Smallville
INV-000528,2025-04-23,4135.6,Eye Care BigTown,Smallville
INV-000529,2025-02-11,2920.1,EyeCare Smallville,Smallville
INV-000530,2025-04-23,2774.62,Eye Care BigTown,Smallville
INV-000531,2025-05-18,2052.95,EyeCare Smallville,Smallville
INV-000532,2025-08-04,1514.82,EyeCare Smallville,BigTown
INV-000533,2025-02-10,1939.25,EyeCare Smallville,Smallville
INV-000534,2025-06-16,2275.6,EyeCare Smallville,Smallville
INV-000535,2025-03-17,1181.64,Eye Care BigTown,Smallville
INV-000536,2025-06-10,4547.0,Eye Care BigTown,BigTown
INV-000537,2025-02-07,3396.61,Eye Care BigTown,BigTown
INV-000538,2025-01-25,1660.22,EyeCare Smallville,Smallville
INV-000539,2025-05-07,1689.25,Eye Care BigTown,BigTown
INV-000540,2025-06-09,2524.9,EyeCare Smallville,Smallville
INV-000541,2025-03-15,1679.57,Eye Care BigTown,BigTown
INV-000542,2025-02-25,2361.66,EyeCare Smallville,Smallville
INV-000543,2025-04-25,4703.5,Eye Care BigTown,Smallville
INV-000544,2025-03-17,1846.52,Eye Care BigTown,Smallville
INV-000545,2025-03-21,4914.84,Eye Care BigTown,BigTown
INV-000546,2025-05-31,3022.46,Eye Care BigTown,BigTown
INV-000547,2025-09-01,2993.73,EyeCare Smallville,Smallville
INV-000548,2025-06-13,4049.52,EyeCare Smallville,BigTown
INV-000549,2025-08-04,2691.44,Eye Care BigTown,BigTown
INV-000550,2025-09-01,4825.61,EyeCare Smallville,Smallville
INV-000551,2025-09-01,3820.77,EyeCare Smallville,Smallville
INV-000552,2025-08-13,3304.86,Eye Care BigTown,Smallville
INV-000553,2025-08-28,4863.17,Eye Care BigTown,BigTown
INV-000554,2025-05-26,766.25,EyeCare Smallville,BigTown
INV-000555,2025-08-04,4744.59,Eye Care BigTown,Smallville
INV-000556,2025-06-28,1699.01,Eye Care BigTown,Smallville
INV-000557,2025-06-09,875.24,Eye Care BigTown,BigTown
INV-000558,2025-01-15,3566.61,Eye Care BigTown,BigTown
INV-000559,2025-07-11,3291.16,Eye Care BigTown,Smallville
INV-000560,2025-05-14,2217.11,EyeCare Smallville,BigTown
INV-000561,2025-05-14,2198.4,Eye Care BigTown,Smallville
INV-000562,2025-04-05,4176.78,EyeCare Smallville,BigTown
INV-000563,2025-06-11,999.23,EyeCare Smallville,BigTown
INV-000564,2025-08-28,646.01,Eye Care BigTown,Smallville
INV-000565,2025-03-02,3391.7,Eye Care BigTown,Smallville
INV-000566,2025-01-21,4386.23,EyeCare Smallville,BigTown
INV-000567,2025-06-22,3673.53,EyeCare Smallville,BigTown
INV-000568,2025-01-15,2898.61,EyeCare Smallville,Smallville
INV-000569,2025-06-24,2653.58,Eye Care BigTown,Smallville
INV-000570,2025-01-10,2291.49,Eye Care BigTown,BigTown
INV-000571,2025-06-28,2837.59,EyeCare Smallville,Smallville
INV-000572,2025-07-05,2499.76,Eye Care BigTown,Smallville
INV-000573,2025-02-04,3762.39,EyeCare Smallville,Smallville
INV-000574,2025-05-12,1809.1,EyeCare Smallville,BigTown
INV-000575,2025-06-02,3531.96,EyeCare Smallville,Smallville
INV-000576,2025-06-25,1284.21,Eye Care BigTown,BigTown
INV-000577,2025-03-19,4866.4,EyeCare Smallville,BigTown
INV-000578,2025-07-31,1532.59,EyeCare Smallville,BigTown
INV-000579,2025-07-11,3799.92,Eye Care BigTown,BigTown
INV-000580,2025-05-28,3508.98,EyeCare Smallville,BigTown
INV-000581,2025-08-31,1284.42,Eye Care BigTown,Smallville
INV-000582,2025-04-30,1802.46,EyeCare Smallville,BigTown
INV-000583,2025-05-27,1036.71,EyeCare Smallville,BigTown
INV-000584,2025-04-01,678.16,Eye Care BigTown,BigTown
INV-000585,2025-03-10,4267.02,Eye Care BigTown,BigTown
INV-000586,2025-05-27,2992.33,EyeCare Smallville,Smallville
INV-000587,2025-04-14,4566.94,Eye Care BigTown,BigTown
INV-000588,2025-04-16,4249.54,EyeCare Smallville,BigTown
INV-000589,2025-05-10,1963.3,Eye Care BigTown,BigTown
INV-000590,2025-08-30,3048.77,EyeCare Smallville,Smallville
INV-000591,2025-01-22,4792.19,EyeCare Smallville,Smallville
INV-000592,2025-02-24,4835.11,Eye Care BigTown,BigTown
INV-000593,2025-06-01,4905.81,EyeCare Smallville,BigTown
INV-000594,2025-08-06,1174.52,EyeCare Smallville,BigTown
INV-000595,2025-07-28,1927.43,EyeCare Smallville,Smallville
INV-000596,2025-04-21,4803.07,Eye Care BigTown,Smallville
INV-000597,2025-01-29,1272.03,Eye Care BigTown,Smallville
INV-000598,2025-03-22,4367.02,Eye Care BigTown,Smallville
INV-000599,2025-03-14,2554.25,Eye Care BigTown,Smallville
INV-000600,2025-03-01,1615.89,Eye Care BigTown,Smallville
INV-000601,2025-04-30,573.16,Eye Care BigTown,BigTown
INV-000602,2025-02-23,2809.75,Eye Care BigTown,BigTown
INV-000603,2025-01-24,3202.4,Eye Care BigTown,Smallville
INV-000604,2025-03-15,3152.06,Eye Care BigTown,BigTown
INV-000605,2025-03-22,3946.44,Eye Care BigTown,BigTown
INV-000606,2025-05-15,4785.01,Eye Care BigTown,Smallville
INV-000607,2025-06-24,4679.95,Eye Care BigTown,BigTown
INV-000608,2025-01-03,4300.21,EyeCare Smallville,BigTown
INV-000609,2025-07-21,4997.59,EyeCare Smallville,BigTown
INV-000610,2025-07-26,3577.65,EyeCare Smallville,Smallville
INV-000611,2025-08-27,4228.93,Eye Care BigTown,BigTown
INV-000612,2025-02-18,4003.8,EyeCare Smallville,Smallville
INV-000613,2025-02-15,732.3,EyeCare Smallville,Smallville
INV-000614,2025-01-17,1662.55,Eye Care BigTown,BigTown
INV-000615,2025-01-13,4732.26,Eye Care BigTown,Smallville
INV-000616,2025-03-07,3571.21,EyeCare Smallville,Smallville
INV-000617,2025-07-21,711.1,EyeCare Smallville,Smallville
INV-000618,2025-04-27,1961.71,Eye Care BigTown,BigTown
INV-000619,2025-04-20,2009.44,EyeCare Smallville,Smallville
INV-000620,2025-08-18,1226.66,Eye Care BigTown,BigTown
INV-000621,2025-02-02,4585.47,EyeCare Smallville,Smallville
INV-000622,2025-01-28,1840.57,Eye Care BigTown,BigTown
INV-000623,2025-07-20,627.72,Eye Care BigTown,Smallville
INV-000624,2025-01-27,2539.27,EyeCare Smallville,Smallville
INV-000625,2025-03-31,1136.7,EyeCare Smallville,BigTown
INV-000626,2025-08-07,2873.98,Eye Care BigTown,Smallville
INV-000627,2025-08-09,2412.28,EyeCare Smallville,BigTown
INV-000628,2025-03-28,2459.44,Eye Care BigTown,Smallville
INV-000629,2025-06-23,1004.73,Eye Care BigTown,BigTown
INV-000630,2025-01-09,1679.13,EyeCare Smallville,Smallville
INV-000631,2025-05-17,4385.23,EyeCare Smallville,Smallville
INV-000632,2025-08-15,4015.13,Eye Care BigTown,BigTown
INV-000633,2025-04-23,1113.33,Eye Care BigTown,BigTown
INV-000634,2025-06-12,2180.66,EyeCare Smallville,BigTown
INV-000635,2025-01-17,4510.46,EyeCare Smallville,Smallville
INV-000636,2025-01-29,1043.78,Eye Care BigTown,BigTown
INV-000637,2025-06-15,2237.03,EyeCare Smallville,Smallville
INV-000638,2025-02-20,1650.59,Eye Care BigTown,Smallville
INV-000639,2025-08-14,1204.6,EyeCare Smallville,BigTown
INV-000640,2025-07-29,1291.79,Eye Care BigTown,Smallville
INV-000641,2025-06-13,2831.06,Eye Care BigTown,Smallville
INV-000642,2025-04-07,1286.67,EyeCare Smallville,BigTown
INV-000643,2025-07-08,3867.26,EyeCare Smallville,Smallville
INV-000644,2025-03-09,4279.76,Eye Care BigTown,Smallville
INV-000645,2025-02-22,2375.81,Eye Care BigTown,Smallville
INV-000646,2025-06-20,2931.43,Eye Care BigTown,Smallville
INV-000647,2025-05-03,3240.67,Eye Care BigTown,BigTown
INV-000648,2025-02-04,3817.26,EyeCare Smallville,Smallville
INV-000649,2025-06-26,1928.75,Eye Care BigTown,Smallville
INV-000650,2025-07-23,3772.57,Eye Care BigTown,Smallville
INV-000651,2025-07-04,1921.06,EyeCare Smallville,Smallville
INV-000652,2025-06-29,1123.49,EyeCare Smallville,BigTown
INV-000653,2025-08-01,4810.29,Eye Care BigTown,Smallville
INV-000654,2025-04-12,1209.93,EyeCare Smallville,BigTown
INV-000655,2025-07-14,2782.36,Eye Care BigTown,BigTown
INV-000656,2025-04-10,1775.14,Eye Care BigTown,BigTown
INV-000657,2025-08-04,959.7,EyeCare Smallville,BigTown
INV-000658,2025-07-16,2224.15,EyeCare Smallville,Smallville
INV-000659,2025-04-04,1542.5,EyeCare Smallville,BigTown
INV-000660,2025-02-05,875.26,EyeCare Smallville,Smallville
INV-000661,2025-03-11,3198.06,EyeCare Smallville,Smallville
INV-000662,2025-05-29,917.49,Eye Care BigTown,BigTown
INV-000663,2025-02-08,1829.83,Eye Care BigTown,Smallville
INV-000664,2025-04-14,3298.5,EyeCare Smallville,BigTown
INV-000665,2025-07-25,3434.74,EyeCare Smallville,BigTown
INV-000666,2025-08-29,791.39,EyeCare Smallville,Smallville
INV-000667,2025-02-23,3505.71,Eye Care BigTown,Smallville
INV-000668,2025-08-21,2315.84,EyeCare Smallville,BigTown
INV-000669,2025-03-31,2225.38,EyeCare Smallville,BigTown
INV-000670,2025-06-19,2973.82,Eye Care BigTown,Smallville
INV-000671,2025-05-11,4427.47,Eye Care BigTown,BigTown
INV-000672,2025-08-13,2639.26,Eye Care BigTown,Smallville
INV-000673,2025-06-01,2548.97,Eye Care BigTown,BigTown
INV-000674,2025-04-19,2611.95,EyeCare Smallville,Smallville
INV-000675,2025-05-14,2921.15,Eye Care BigTown,Smallville
INV-000676,2025-05-13,4604.59,EyeCare Smallville,Smallville
INV-000677,2025-07-19,3651.03,EyeCare Smallville,BigTown
INV-000678,2025-08-31,2833.2,EyeCare Smallville,BigTown
INV-000679,2025-05-07,4285.82,EyeCare Smallville,BigTown
INV-000680,2025-08-06,4092.31,Eye Care BigTown,BigTown
INV-000681,2025-03-04,3482.87,Eye Care BigTown,BigTown
INV-000682,2025-03-22,2064.47,EyeCare Smallville,BigTown
INV-000683,2025-08-24,2287.0,Eye Care BigTown,Smallville
INV-000684,2025-07-13,1369.93,EyeCare Smallville,BigTown
INV-000685,2025-03-26,2470.18,Eye Care BigTown,BigTown
INV-000686,2025-05-18,4935.15,Eye Care BigTown,Smallville
INV-000687,2025-04-29,1184.83,Eye Care BigTown,Smallville
INV-000688,2025-02-19,4410.05,Eye Care BigTown,BigTown
INV-000689,2025-07-25,1604.04,EyeCare Smallville,Smallville
INV-000690,2025-06-03,1154.56,Eye Care BigTown,Smallville
INV-000691,2025-01-17,4249.92,Eye Care BigTown,BigTown
INV-000692,2025-05-24,1602.28,Eye Care BigTown,BigTown
INV-000693,2025-06-17,1091.87,Eye Care BigTown,Smallville
INV-000694,2025-08-08,4057.03,Eye Care BigTown,BigTown
INV-000695,2025-07-24,2189.28,EyeCare Smallville,BigTown
INV-000696,2025-05-19,4757.15,EyeCare Smallville,Smallville
INV-000697,2025-07-04,2049.72,Eye Care BigTown,BigTown
INV-000698,2025-03-27,4949.52,EyeCare Smallville,Smallville
INV-000699,2025-06-09,4135.38,Eye Care BigTown,Smallville
INV-000700,2025-03-25,4643.56,Eye Care BigTown,BigTown
INV-000701,2025-05-28,560.2,EyeCare Smallville,Smallville
INV-000702,2025-07-25,513.94,EyeCare Smallville,BigTown
INV-000703,2025-02-18,1909.37,EyeCare Smallville,BigTown
INV-000704,2025-05-25,2939.16,EyeCare Smallville,BigTown
INV-000705,2025-06-04,2847.82,EyeCare Smallville,BigTown
INV-000706,2025-02-11,2893.29,Eye Care BigTown,BigTown
INV-000707,2025-04-04,1320.29,Eye Care BigTown,Smallville
INV-000708,2025-02-21,1681.0,EyeCare Smallville,Smallville
INV-000709,2025-04-01,1205.1,Eye Care BigTown,Smallville
INV-000710,2025-07-05,2647.99,EyeCare Smallville,Smallville
INV-000711,2025-01-23,2150.12,Eye Care BigTown,Smallville
INV-000712,2025-07-21,4487.31,Eye Care BigTown,Smallville
INV-000713,2025-07-29,3922.52,EyeCare Smallville,BigTown
INV-000714,2025-04-23,2808.89,EyeCare Smallville,Smallville
INV-000715,2025-01-03,4981.33,Eye Care BigTown,BigTown
INV-000716,2025-07-17,1592.56,EyeCare Smallville,Smallville
INV-000717,2025-05-16,677.88,EyeCare Smallville,BigTown
INV-000718,2025-08-21,1723.5,Eye Care BigTown,BigTown
INV-000719,2025-07-19,4899.19,EyeCare Smallville,BigTown
INV-000720,2025-07-25,645.55,EyeCare Smallville,BigTown
INV-000721,2025-08-08,1271.42,EyeCare Smallville,BigTown
INV-000722,2025-04-04,3410.42,Eye Care BigTown,BigTown
INV-000723,2025-03-05,516.37,EyeCare Smallville,Smallville
INV-000724,2025-01-20,669.97,EyeCare Smallville,Smallville
INV-000725,2025-05-26,4015.08,Eye Care BigTown,BigTown
INV-000726,2025-07-27,1078.46,EyeCare Smallville,BigTown
INV-000727,2025-03-31,2436.9,Eye Care BigTown,BigTown
INV-000728,2025-07-22,3221.04,Eye Care BigTown,BigTown
INV-000729,2025-02-08,1077.95,EyeCare Smallville,Smallville
INV-000730,2025-08-06,2835.53,Eye Care BigTown,Smallville
INV-000731,2025-06-02,2455.25,Eye Care BigTown,Smallville
INV-000732,2025-07-21,4610.45,EyeCare Smallville,Smallville
INV-000733,2025-08-27,4442.2,Eye Care BigTown,BigTown
INV-000734,2025-01-31,982.05,Eye Care BigTown,BigTown
INV-000735,2025-01-21,1700.35,EyeCare Smallville,BigTown
INV-000736,2025-05-02,3957.08,Eye Care BigTown,Smallville
INV-000737,2025-07-24,4932.21,Eye Care BigTown,Smallville
INV-000738,2025-03-28,2107.69,EyeCare Smallville,Smallville
INV-000739,2025-07-04,1190.67,Eye Care BigTown,Smallville
INV-000740,2025-06-14,3884.41,EyeCare Smallville,BigTown
INV-000741,2025-01-17,4342.6,Eye Care BigTown,BigTown
INV-000742,2025-04-27,4752.3,EyeCare Smallville,Smallville
INV-000743,2025-03-07,4914.06,Eye Care BigTown,BigTown
INV-000744,2025-01-04,1066.94,EyeCare Smallville,BigTown
INV-000745,2025-05-18,4386.18,Eye Care BigTown,BigTown
INV-000746,2025-08-30,2932.6,Eye Care BigTown,BigTown
INV-000747,2025-06-16,4535.35,Eye Care BigTown,BigTown
INV-000748,2025-06-14,4257.84,Eye Care BigTown,BigTown
INV-000749,2025-04-26,1078.13,Eye Care BigTown,BigTown
INV-000750,2025-03-04,3953.34,EyeCare Smallville,BigTown
INV-000751,2025-03-03,1228.17,EyeCare Smallville,BigTown
INV-000752,2025-08-15,724.03,Eye Care BigTown,Smallville
INV-000753,2025-06-20,3342.23,EyeCare Smallville,BigTown
INV-000754,2025-01-15,4099.3,EyeCare Smallville,BigTown
INV-000755,2025-06-28,2142.51,Eye Care BigTown,Smallville
INV-000756,2025-03-02,528.46,Eye Care BigTown,Smallville
INV-000757,2025-07-06,2480.64,EyeCare Smallville,BigTown
INV-000758,2025-04-03,3554.21,Eye Care BigTown,BigTown
INV-000759,2025-07-08,4984.64,EyeCare Smallville,BigTown
INV-000760,2025-02-28,4432.97,Eye Care BigTown,Smallville
INV-000761,2025-08-23,678.62,Eye Care BigTown,BigTown
INV-000762,2025-05-26,4413.04,EyeCare Smallville,BigTown
INV-000763,2025-02-07,2427.86,EyeCare Smallville,BigTown
INV-000764,2025-04-17,774.9,EyeCare Smallville,Smallville
INV-000765,2025-05-09,4712.11,Eye Care BigTown,BigTown
INV-000766,2025-01-10,4755.41,Eye Care BigTown,Smallville
INV-000767,2025-06-27,3391.54,Eye Care BigTown,Smallville
INV-000768,2025-01-12,2214.7,Eye Care BigTown,Smallville
INV-000769,2025-06-04,510.15,EyeCare Smallville,BigTown
INV-000770,2025-02-16,1805.38,EyeCare Smallville,Smallville
INV-000771,2025-07-11,1379.84,EyeCare Smallville,BigTown
INV-000772,2025-08-21,2394.23,Eye Care BigTown,Smallville
INV-000773,2025-04-01,3056.65,Eye Care BigTown,BigTown
INV-000774,2025-04-30,4495.03,Eye Care BigTown,BigTown
INV-000775,2025-05-21,1313.74,Eye Care BigTown,BigTown
INV-000776,2025-08-18,4169.73,Eye Care BigTown,BigTown
INV-000777,2025-03-04,3390.17,Eye Care BigTown,Smallville
INV-000778,2025-04-25,1400.39,EyeCare Smallville,BigTown
INV-000779,2025-01-16,3233.57,EyeCare Smallville,Smallville
INV-000780,2025-03-31,3998.8,EyeCare Smallville,Smallville
INV-000781,2025-01-15,893.27,Eye Care BigTown,Smallville
INV-000782,2025-08-12,2537.89,Eye Care BigTown,BigTown
INV-000783,2025-07-12,3341.05,EyeCare Smallville,BigTown
INV-000784,2025-04-28,557.3,EyeCare Smallville,Smallville
INV-000785,2025-04-28,2810.22,EyeCare Smallville,BigTown
INV-000786,2025-03-10,689.92,EyeCare Smallville,Smallville
INV-000787,2025-04-05,2364.62,EyeCare Smallville,BigTown
INV-000788,2025-02-08,763.84,Eye Care BigTown,BigTown
INV-000789,2025-01-11,2725.54,EyeCare Smallville,BigTown
INV-000790,2025-08-19,3788.71,EyeCare Smallville,BigTown
INV-000791,2025-01-25,4439.13,EyeCare Smallville,Smallville
INV-000792,2025-09-01,4046.22,Eye Care BigTown,Smallville
INV-000793,2025-02-27,2695.31,EyeCare Smallville,Smallville
INV-000794,2025-06-02,3301.64,EyeCare Smallville,BigTown
INV-000795,2025-03-30,2060.31,EyeCare Smallville,BigTown
INV-000796,2025-03-01,3733.33,Eye Care BigTown,BigTown
INV-000797,2025-03-25,4732.3,EyeCare Smallville,BigTown
INV-000798,2025-06-04,1567.81,EyeCare Smallville,BigTown
INV-000799,2025-01-14,896.4,EyeCare Smallville,BigTown
INV-000800,2025-06-14,1523.51,EyeCare Smallville,BigTown
INV-000801,2025-06-25,1114.66,Eye Care BigTown,BigTown
INV-000802,2025-06-02,4642.03,Eye Care BigTown,BigTown
INV-000803,2025-06-10,4011.88,EyeCare Smallville,BigTown
INV-000804,2025-04-21,4536.09,Eye Care BigTown,BigTown
INV-000805,2025-02-20,634.86,Eye Care BigTown,BigTown
INV-000806,2025-06-04,1933.72,Eye Care BigTown,BigTown
INV-000807,2025-07-22,1397.67,Eye Care BigTown,BigTown
INV-000808,2025-05-06,1917.07,Eye Care BigTown,Smallville
INV-000809,2025-06-08,1197.92,EyeCare Smallville,Smallville
INV-000810,2025-01-17,2098.91,Eye Care BigTown,Smallville
INV-000811,2025-05-30,4291.64,EyeCare Smallville,BigTown
INV-000812,2025-03-05,2180.3,Eye Care BigTown,Smallville
INV-000813,2025-05-13,1135.91,Eye Care BigTown,BigTown
INV-000814,2025-06-06,956.95,Eye Care BigTown,BigTown
INV-000815,2025-03-31,3245.93,EyeCare Smallville,Smallville
INV-000816,2025-07-17,3140.5,EyeCare Smallville,Smallville
INV-000817,2025-01-06,1601.2,Eye Care BigTown,Smallville
INV-000818,2025-03-26,3597.65,Eye Care BigTown,BigTown
INV-000819,2025-02-18,1047.2,EyeCare Smallville,Smallville
INV-000820,2025-02-16,2956.95,EyeCare Smallville,BigTown
INV-000821,2025-04-15,4798.55,EyeCare Smallville,BigTown
INV-000822,2025-05-23,3610.2,Eye Care BigTown,BigTown
INV-000823,2025-03-14,1625.96,Eye Care BigTown,Smallville
INV-000824,2025-03-29,911.65,Eye Care BigTown,Smallville
INV-000825,2025-02-16,3272.24,EyeCare Smallville,BigTown
INV-000826,2025-08-17,4354.17,Eye Care BigTown,Smallville
INV-000827,2025-08-04,1713.67,EyeCare Smallville,BigTown
INV-000828,2025-04-02,4184.56,EyeCare Smallville,Smallville
INV-000829,2025-04-11,4661.98,Eye Care BigTown,Smallville
INV-000830,2025-02-25,3255.06,EyeCare Smallville,Smallville
INV-000831,2025-06-28,2559.21,Eye Care BigTown,BigTown
INV-000832,2025-01-31,4382.25,EyeCare Smallville,Smallville
INV-000833,2025-08-20,4401.25,Eye Care BigTown,BigTown
INV-000834,2025-03-11,2124.85,EyeCare Smallville,BigTown
INV-000835,2025-07-25,3272.78,Eye Care BigTown,Smallville
INV-000836,2025-08-28,1023.04,Eye Care BigTown,Smallville
INV-000837,2025-07-12,1663.0,EyeCare Smallville,Smallville
INV-000838,2025-05-28,2512.01,EyeCare Smallville,BigTown
INV-000839,2025-03-11,3510.51,Eye Care BigTown,BigTown
INV-000840,2025-05-01,3933.84,EyeCare Smallville,BigTown
INV-000841,2025-04-18,4147.82,EyeCare Smallville,BigTown
INV-000842,2025-04-23,1462.63,Eye Care BigTown,BigTown
INV-000843,2025-03-27,2301.19,Eye Care BigTown,BigTown
INV-000844,2025-02-08,1901.75,EyeCare Smallville,Smallville
INV-000845,2025-04-04,4576.6,EyeCare Smallville,Smallville
INV-000846,2025-08-24,4220.22,EyeCare Smallville,Smallville
INV-000847,2025-03-30,2144.49,Eye Care BigTown,BigTown
INV-000848,2025-06-12,2128.48,Eye Care BigTown,Smallville
